mapped_scenario,RM08C,RM10,RM12,RM06C,RM06D,RM10B,RM12B
1冷启动,ccopen,coolopen,bootcool,cl_open,cl_open,coolopen,bootcool
2热启动,hhopen,hotopen,boothot,ho_open,ho_open,hotopen,boothot
3新手插屏,insnewgd,closenew,popclose,ngdcp,ngdcp,closenew,popclose
4专辑插屏,insabb,albumxq,albumpage,albcp,albcp,albumxq,albumpage
5歌单插屏,insrrr,listcli,listuser,rkgcp,rkgcp,listcli,listuser
6歌手插屏,insatt,singercli,singeruser,secp,secp,singercli,singeruser
7流派插屏,inspa,stylexq,stylepage,stccp,stccp,stylexq,stylepage
8红心歌单,insred,heartclick,likeclick,lkcp,lkcp,heartclick,likeclick
9最近播放&本地资源歌单,inshg,localsing,localmusic,offlcp,offlcp,localsing,localmusic
10自建&收藏歌单,inscret,myselflist,ownlist,jclcp,jclcp,myselflist,ownlist
11MV播放页,,,,,,,
12点击搜索,inssec,resultspop,searchpop,searcp,searcp,resultspop,searchpop
13返回,insback,comeback,backturn,bkcp,bkcp,comeback,backturn
14切歌,insplayn,switchsong,musicswitch,skpcp,skpcp,switchsong,musicswitch
15歌曲播放,inssp,songbegin,musicopen,splcp,splcp,songbegin,musicopen
16歌曲下载,insdown,songload,musicinit,xzcp,xzcp,songload,musicinit
17首页原生,,,,,,,
18歌手原生,,,,,,,
19歌单原生,,,,,,,
20专辑原生,,,,,,,
21最近播放原生,,,,,,,
22搜索原生,,,,,,,
23语言页原生,,,,,,,
24离线歌单插屏,,,,,,,
25点控制台,inscon,consoleopen,panelstart,cscp,cscp,consoleopen,panelstart
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
