mapped_scenario,RM04B,RM04C,RM07,RM07B,RM11B,RM09,RM09B,RM13,RMI2,RMI3,RMI5,RMI6,RM06A,RM08,RM10,RM12,RM06B,RM08B,RM10B,RM12B,RM13B
1冷启动,ocold,ocold,lenopen,lenopen,clopen,ctovb,ctovb,leopn,coldopen,coldopen,lqdkp,coldopen,cl_open,ccopen,coolopen,bootcool,cl_open,ccopen,coolopen,bootcool,leopn
2热启动,hoto,hoto,reopen,reopen,htopen,htovb,htovb,reopn,hotopen,hotopen,rqdkp,hotopen,ho_open,hhopen,hotopen,boothot,ho_open,hhopen,hotopen,boothot,reopn
3新手插屏,startint,startint,ydint,ydint,gdydy,ydyvb,ydyvb,ydyad,leadingint,leadint,ydyint,yyddint,ngdcp,insnewgd,closenew,popclose,ngdcp,insnewgd,closenew,popclose,ydyad
4专辑插屏,albbmint,albbmint,zjint,zjint,albxq,zhaivb,zhaivb,zjxqy,albumint,zhuanjiint,zjxqint,zzjjint,albcp,insabb,albumxq,albumpage,albcp,insabb,albumxq,albumpage,zjxqy
5歌单插屏,lllistint,lllistint,phbint,phbint,songlist,listivb,listivb,songgd,,,,,rkgcp,insrrr,listcli,listuser,rkgcp,insrrr,listcli,listuser,songgd
6歌手插屏,artieint,artieint,gsint,gsint,singersy,sigeivb,sigeivb,singerzy,singerint,geshouint,singerint,ggssint,secp,insatt,singercli,singeruser,secp,insatt,singercli,singeruser,singerzy
7流派插屏,gennint,gennint,lpint,lpint,genelpy,gereivb,gereivb,jrlpy,,,,,stccp,inspa,stylexq,stylepage,stccp,inspa,stylexq,stylepage,jrlpy
8红心歌单,redhint,redhint,hxint,hxint,lovegd,fovivb,fovivb,hxlist,likedint,hongxinint,schxint,hhxxint,lkcp,insred,heartclick,likeclick,lkcp,insred,heartclick,likeclick,hxlist
9最近播放&本地资源歌单,downloint,downloint,bdzyint,bdzyint,lcbdrsgd,locivb,locivb,bdzylist,recentint,zuijinint,recentint,zzjjint,offlcp,inshg,localsing,localmusic,offlcp,inshg,localsing,localmusic,bdzylist
10自建&收藏歌单,creatint,creatint,zjgdint,zjgdint,creazjgd,cretivb,cretivb,jrzjlist,cuslistint,zijianint,zjgdint,zzjjint,jclcp,inscret,myselflist,ownlist,jclcp,inscret,myselflist,ownlist,jrzjlist
11MV播放页,videoint,videoint,playmvint,playmvint,mxplay,mxgovb,mxgovb,jrmvplay,,,,,,,,,,,,,jrmvplay
12点击搜索,scanint,scanint,ssjgint,ssjgint,frontsearc,serchsvb,serchsvb,ssjgq,searchint,sousuoint,ssjgqint,ssjgint,searcp,inssec,resultspop,searchpop,searcp,inssec,resultspop,searchpop,ssjgq
13返回,backint,backint,fhint,fhint,baclastym,bckovb,bckovb,djfhsy,returnint,fanhuiint,sgymint,ffhhint,bkcp,insback,comeback,backturn,bkcp,insback,comeback,backturn,djfhsy
14切歌,playnextint,playnextint,lxdjint,lxdjint,playctncl,qievb,qievb,lxdjxad,nextsongint,qiegeint,lxdjint,llxxint,skpcp,insplayn,switchsong,musicswitch,skpcp,insplayn,switchsong,musicswitch,lxdjxad
15歌曲播放,songplay,songplay,lqzzbfint,lqzzbfint,ingplay,laplvb,laplvb,lqxcad,playint,playingint,lqbfint,zzbfint,splcp,inssp,songbegin,musicopen,splcp,inssp,songbegin,musicopen,lqxcad
16歌曲下载,playingint,playingint,jilirw,jilirw,dlafter,dwlivb,dwlivb,djxzad,,,,,xzcp,insdown,songload,musicinit,xzcp,insdown,songload,musicinit,djxzad
17首页原生,frontpagenav,frontpagenav,,,,,,,tabnav,playernav,tabsmnav,tabbnav,,,,,,,,,
18歌手原生,artisttnav,artisttnav,,,,,,,singernav,geshounav,singernav,ggssnav,,,,,,,,,
19歌单原生,lllistnav,lllistnav,,,,,,,playlistnav,gedannav,gdxqynav,ggxqnav,,,,,,,,,
20专辑原生,albummnav,albummnav,,,,,,,albumnav,zhuanjinav,zjxqynav,zjxqnav,,,,,,,,,
21最近播放原生,,,,recplaylist,zjlistplay,rcentvb,rcentvb,zjbflist,,,,,,,,,,,,,zjbflist
22搜索原生,seachhnav,seachhnav,,,,,,,searchnav,sousnav,sslnav,sslnav,,,,,,,,,
23语言页原生,,,,lynav,lagenv,lngvb,lngvb,fiveyy,,yyybignv,,yuynav,,,,,,,,,fiveyy
24离线歌单插屏,,,,,,,,,,lixianint,offlineint,llxxnint,,,,,,,,,
25点控制台,,,,,,,,,,,,,cscp,inscon,consoleopen,panelstart,cscp,inscon,consoleopen,panelstart,
