"日期","国家","应用","渠道","版本","注册用户","广告场景","曝光人数","曝光次数","广告收益","点击次数"
2026-06-01,ao,RM06B,facebook,"1.3.5",73,ALL,56,171,1.8327000000,108
2026-06-01,ao,RM06B,facebook,"1.3.5",73,bkcp,16,17,0.0951500000,4
2026-06-01,ao,RM06B,facebook,"1.3.5",73,cl_open,33,33,0.7188500000,32
2026-06-01,ao,RM06B,facebook,"1.3.5",73,ho_open,27,41,0.4209000000,29
2026-06-01,ao,RM06B,facebook,"1.3.5",73,ngdcp,21,21,0.2525500000,12
2026-06-01,ao,RM06B,facebook,"1.3.5",73,searcp,12,15,0.0551000000,6
2026-06-01,ao,RM06B,facebook,"1.3.5",73,splcp,18,20,0.1512000000,12
2026-06-01,ao,RM06B,facebook,"1.3.6",68,ALL,50,148,1.7799500000,101
2026-06-01,ao,RM06B,facebook,"1.3.6",68,bkcp,13,13,0.0640000000,3
2026-06-01,ao,RM06B,facebook,"1.3.6",68,cl_open,32,34,0.6794000000,37
2026-06-01,ao,RM06B,facebook,"1.3.6",68,ho_open,25,37,0.2577000000,20
2026-06-01,ao,RM06B,facebook,"1.3.6",68,ngdcp,15,16,0.2025000000,11
2026-06-01,ao,RM06B,facebook,"1.3.6",68,searcp,10,12,0.1761000000,6
2026-06-01,ao,RM06B,facebook,"1.3.6",68,splcp,14,15,0.2178500000,13
2026-06-01,ar,RM06B,facebook,"1.3.5",288,ALL,233,971,19.7711000000,486
2026-06-01,ar,RM06B,facebook,"1.3.5",288,albcp,31,32,0.5559500000,13
2026-06-01,ar,RM06B,facebook,"1.3.5",288,bkcp,40,41,0.3458500000,12
2026-06-01,ar,RM06B,facebook,"1.3.5",288,cl_open,176,198,7.6044000000,152
2026-06-01,ar,RM06B,facebook,"1.3.5",288,ho_open,120,237,4.9308500000,115
2026-06-01,ar,RM06B,facebook,"1.3.5",288,ngdcp,85,85,2.0366000000,49
2026-06-01,ar,RM06B,facebook,"1.3.5",288,searcp,45,55,0.5682000000,25
2026-06-01,ar,RM06B,facebook,"1.3.5",288,skpcp,24,49,0.2806000000,14
2026-06-01,ar,RM06B,facebook,"1.3.5",288,splcp,91,127,2.4550500000,38
2026-06-01,ar,RM06B,facebook,"1.3.5",288,xzcp,43,125,0.6606000000,58
2026-06-01,ar,RM06B,facebook,"1.3.6",306,ALL,268,1432,29.5156500000,799
2026-06-01,ar,RM06B,facebook,"1.3.6",306,albcp,35,42,0.5855500000,31
2026-06-01,ar,RM06B,facebook,"1.3.6",306,bkcp,60,67,0.8802000000,25
2026-06-01,ar,RM06B,facebook,"1.3.6",306,cl_open,198,240,9.3839000000,193
2026-06-01,ar,RM06B,facebook,"1.3.6",306,cscp,12,17,0.1725500000,7
2026-06-01,ar,RM06B,facebook,"1.3.6",306,ho_open,157,387,9.0733000000,192
2026-06-01,ar,RM06B,facebook,"1.3.6",306,ngdcp,120,120,3.2460500000,82
2026-06-01,ar,RM06B,facebook,"1.3.6",306,offlcp,12,13,0.1169000000,7
2026-06-01,ar,RM06B,facebook,"1.3.6",306,searcp,63,84,1.1903500000,45
2026-06-01,ar,RM06B,facebook,"1.3.6",306,skpcp,37,80,0.6247000000,64
2026-06-01,ar,RM06B,facebook,"1.3.6",306,splcp,118,200,2.8165500000,79
2026-06-01,ar,RM06B,facebook,"1.3.6",306,xzcp,55,162,0.9715500000,68
2026-06-01,ar,RM08,facebook,"1.2.4",84,ALL,72,215,5.9641365688,138
2026-06-01,ar,RM08,facebook,"1.2.4",84,ccopen,52,60,2.2525041588,41
2026-06-01,ar,RM08,facebook,"1.2.4",84,hhopen,41,57,1.5768052796,31
2026-06-01,ar,RM08,facebook,"1.2.4",84,insabb,10,11,0.2681710471,7
2026-06-01,ar,RM08,facebook,"1.2.4",84,insback,11,11,0.1651816767,6
2026-06-01,ar,RM08,facebook,"1.2.4",84,insdown,11,13,0.3366512660,5
2026-06-01,ar,RM08,facebook,"1.2.4",84,insnewgd,26,26,0.6085925774,21
2026-06-01,ar,RM08,facebook,"1.2.4",84,insplayn,10,22,0.5434138439,16
2026-06-01,bo,RM06B,facebook,"1.3.5",149,ALL,124,611,6.4904000000,241
2026-06-01,bo,RM06B,facebook,"1.3.5",149,albcp,16,16,0.2965000000,4
2026-06-01,bo,RM06B,facebook,"1.3.5",149,bkcp,25,26,0.1101000000,4
2026-06-01,bo,RM06B,facebook,"1.3.5",149,cl_open,83,88,2.4861000000,84
2026-06-01,bo,RM06B,facebook,"1.3.5",149,ho_open,66,132,1.2165000000,46
2026-06-01,bo,RM06B,facebook,"1.3.5",149,ngdcp,57,58,0.9868500000,36
2026-06-01,bo,RM06B,facebook,"1.3.5",149,searcp,33,39,0.2773500000,13
2026-06-01,bo,RM06B,facebook,"1.3.5",149,skpcp,15,28,0.0900000000,6
2026-06-01,bo,RM06B,facebook,"1.3.5",149,splcp,57,105,0.7287500000,21
2026-06-01,bo,RM06B,facebook,"1.3.5",149,xzcp,25,105,0.2530500000,23
2026-06-01,bo,RM06B,facebook,"1.3.6",144,ALL,122,858,7.3385500000,365
2026-06-01,bo,RM06B,facebook,"1.3.6",144,albcp,19,21,0.0522500000,8
2026-06-01,bo,RM06B,facebook,"1.3.6",144,bkcp,32,37,0.0857000000,4
2026-06-01,bo,RM06B,facebook,"1.3.6",144,cl_open,80,93,2.3975500000,92
2026-06-01,bo,RM06B,facebook,"1.3.6",144,ho_open,77,189,2.2217000000,102
2026-06-01,bo,RM06B,facebook,"1.3.6",144,ngdcp,58,59,1.0189000000,40
2026-06-01,bo,RM06B,facebook,"1.3.6",144,searcp,37,48,0.3838000000,25
2026-06-01,bo,RM06B,facebook,"1.3.6",144,skpcp,16,126,0.1294000000,24
2026-06-01,bo,RM06B,facebook,"1.3.6",144,splcp,58,108,0.7869500000,38
